,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,2.1959023127735056e-13,5.797182105722053e-10,1.1478411785720413e-06,0.0015151497759968836,0.9999977043172037,0.0015151497759968836,1.1478411785720413e-06,5.797182105722053e-10,2.1959023127735056e-13,0.0,0.0,0.0
2,2.546009164367603e-22,8.401826234136421e-19,1.996273047587713e-15,3.5134386593409036e-12,4.6377357032088404e-09,4.591354173969667e-06,0.0030302891170859397,0.9999908172846252,0.0030302891170859397,4.591354173969667e-06,4.6377357032088404e-09,3.5134386593409036e-12,1.996273047587713e-15,8.401826234136421e-19,2.546009164367603e-22
3,6.87421380908876e-21,1.1594498909231248e-17,1.5970150518826893e-14,1.7786739166405396e-11,1.565231183460071e-08,1.033050736533568e-05,0.004545407588439192,0.9999793389496959,0.004545407588439192,1.033050736533568e-05,1.565231183460071e-08,1.7786739166405396e-11,1.5970150518826893e-14,1.1594498909231248e-17,6.87421380908876e-21
4,5.652119668432634e-20,6.755039221507774e-17,6.787294856406245e-14,5.6214693903844145e-11,3.7101626111087025e-08,1.8365248051543892e-05,0.0060604947553883634,0.9999632693914675,0.0060604947553883634,1.8365248051543892e-05,3.7101626111087025e-08,5.6214693903844145e-11,6.787294856406245e-14,6.755039221507774e-17,5.652119668432634e-20
5,2.7751327224486324e-19,2.604546921850788e-16,2.0761063970098413e-13,1.3724233181508934e-10,7.246373826444197e-08,2.8695502451652803e-05,0.007575540183504729,0.9999426087206116,0.007575540183504729,2.8695502451652803e-05,7.246373826444197e-08,1.3724233181508934e-10,2.0761063970098413e-13,2.604546921850788e-16,2.7751327224486324e-19
6,1.0059188784819766e-18,7.808570886261572e-16,5.17028139459065e-13,2.8458425457041434e-10,1.2521654832881618e-07,4.132117570554078e-05,0.009090533438678959,0.9999173570794189,0.009090533438678959,4.132117570554078e-05,1.2521654832881618e-07,2.8458425457041434e-10,5.17028139459065e-13,7.808570886261572e-16,1.0059188784819766e-18
7,2.974973439408836e-18,1.972550407626133e-15,1.1178930797662363e-12,5.272243099163199e-10,1.9883775671921788e-07,5.624215187472268e-05,0.010605464087200965,0.999887514641798,0.010605464087200965,5.624215187472268e-05,1.9883775671921788e-07,5.272243099163199e-10,1.1178930797662363e-12,1.972550407626133e-15,2.974973439408836e-18
8,7.596144123004615e-18,4.3991066900737526e-15,2.1798789407747196e-12,8.994151924430233e-10,2.968048243119189e-07,7.345829394334795e-05,0.012120321695839742,0.9998530816132741,0.012120321695839742,7.345829394334795e-05,2.968048243119189e-07,8.994151924430233e-10,2.1798789407747196e-12,4.3991066900737526e-15,7.596144123004615e-18
9,1.7350168878174066e-17,8.922507850580435e-15,3.928547412830512e-12,1.4406779717743288e-09,4.2259493252717025e-07,9.296944381938016e-05,0.0136350958319232,0.9998140582309875,0.0136350958319232,9.296944381938016e-05,4.2259493252717025e-07,1.4406779717743288e-09,3.928547412830512e-12,8.922507850580435e-15,1.7350168878174066e-17
10,3.6306393412263866e-17,1.6793869472658962e-14,6.653329860300109e-12,2.195801548184932e-09,5.796849434146119e-07,0.00011477542233595799,0.015149776063418009,0.9997704447636914,0.015149776063418009,0.00011477542233595799,5.796849434146119e-07,2.195801548184932e-09,6.653329860300109e-12,1.6793869472658962e-14,3.6306393412263866e-17
11,7.078872728544204e-17,2.975625607388844e-14,1.0715507758978657e-11,3.214842035650992e-09,7.715513597417623e-07,0.00013887602925293768,0.01666435195900941,0.9997222415117505,0.01666435195900941,0.00013887602925293768,7.715513597417623e-07,3.214842035650992e-09,1.0715507758978657e-11,2.975625607388844e-14,7.078872728544204e-17
12,1.3020653745807247e-16,5.015958595269043e-14,1.6556191978815835e-11,4.553122072340581e-09,1.0016702850859721e-06,0.0001652710432586168,0.018178813088181055,0.9996694488071383,0.018178813088181055,0.0001652710432586168,1.0016702850859721e-06,4.553122072340581e-09,1.6556191978815835e-11,5.015958595269043e-14,1.3020653745807247e-16
13,2.2806879443214025e-16,8.108762350626126e-14,2.4704300783709415e-11,6.271230058551395e-09,1.2735173839302264e-06,0.00019396022197163955,0.01969314902129481,0.9996120670134344,0.01969314902129481,0.00019396022197163955,1.2735173839302264e-06,6.271230058551395e-09,2.4704300783709415e-11,8.108762350626126e-14,2.2806879443214025e-16
14,3.83199782577849e-16,1.264970566871525e-13,3.578453642013158e-11,8.435019322103896e-09,1.5905678417631811e-06,0.00022494330194308327,0.021207349329670562,0.9995500965258222,0.021207349329670562,0.00022494330194308327,1.5905678417631811e-06,8.435019322103896e-09,3.578453642013158e-11,1.264970566871525e-13,3.83199782577849e-16
15,6.211746823317626e-16,1.913686570439694e-13,5.052536016636976e-11,1.111560721119882e-08,1.9562963251838175e-06,0.00025821999865872653,0.02272140358566603,0.9994835377710853,0.02272140358566603,0.00025821999865872653,1.9562963251838175e-06,1.111560721119882e-08,5.052536016636976e-11,1.913686570439694e-13,6.211746823317626e-16
16,9.759933276933568e-16,2.8187051956966696e-13,6.97669657141819e-11,1.4389374114748777e-08,2.3741769420111e-06,0.00029379000654149845,0.02423530136275655,0.999412391207605,0.02423530136275655,0.00029379000654149845,2.3741769420111e-06,1.4389374114748777e-08,6.97669657141819e-11,2.8187051956966696e-13,9.759933276933568e-16
17,1.4920104378326333e-15,4.0553337935896977e-13,9.446925075468576e-11,1.833796241019443e-08,2.8476832013990218e-06,0.0003316529989541093,0.025749032235614866,0.9993366573253559,0.025749032235614866,0.0003316529989541093,2.8476832013990218e-06,1.833796241019443e-08,9.446925075468576e-11,4.0553337935896977e-13,1.4920104378326333e-15
18,2.226140616652594e-15,5.71438001854527e-13,1.257197866403231e-10,2.3048275338816528e-08,3.3802879739574233e-06,0.0003718086282018625,0.027262585780190886,0.9992563366459027,0.027262585780190886,0.0003718086282018625,3.3802879739574233e-06,2.3048275338816528e-08,1.257197866403231e-10,5.71438001854527e-13,2.226140616652594e-15
19,3.250356408826944e-15,7.904146432395394e-13,1.6474178599476222e-10,2.861247580855586e-08,3.975463451878966e-06,0.0004142565255356478,0.02877595157379147,0.9991714297223964,0.02877595157379147,0.0004142565255356478,3.975463451878966e-06,2.861247580855586e-08,1.6474178599476222e-10,7.904146432395394e-13,3.250356408826944e-15
20,4.6544976951554496e-15,1.0752545773127672e-12,2.1290206814262668e-10,3.5127985124353927e-08,4.63668110907265e-06,0.00045899630115511596,0.030289119195160166,0.9990819371395692,0.030289119195160166,0.00045899630115511596,4.63668110907265e-06,3.5127985124353927e-08,2.1290206814262668e-10,1.0752545773127672e-12,4.6544976951554496e-15
21,6.549410704047006e-15,1.440933684960047e-12,2.717190222309637e-10,4.269748164602794e-08,5.367411661304253e-06,0.0005060275442120342,0.031802078224556954,0.9989878595137308,0.031802078224556954,0.0005060275442120342,5.367411661304253e-06,4.269748164602794e-08,2.717190222309637e-10,1.440933684960047e-12,6.549410704047006e-15
22,9.070434909553773e-15,1.90484810211471e-12,3.428705679143929e-10,5.142889937369456e-08,6.171125026344087e-06,0.0005553498228138235,0.033314818243837974,0.998889197492764,0.033314818243837974,0.0005553498228138235,6.171125026344087e-06,5.142889937369456e-08,3.428705679143929e-10,1.90484810211471e-12,9.070434909553773e-15
23,1.2381256079638706e-14,2.4870619218776206e-12,4.28202113475905e-10,6.143542646075747e-08,7.05129028412244e-06,0.0006069626840272761,0.03482732883653525,0.9987859517561185,0.03482732883653525,0.0006069626840272761,7.05129028412244e-06,6.143542646075747e-08,4.28202113475905e-10,2.4870619218776206e-12,1.2381256079638706e-14
24,1.6678143731263688e-14,3.210566946245932e-12,5.297345112553102e-10,7.283550365447479e-08,8.011375636893103e-06,0.0006608656538824554,0.03633959958793638,0.9986781230148067,0.03633959958793638,0.0006608656538824554,8.011375636893103e-06,7.283550365447479e-08,5.297345112553102e-10,3.210566946245932e-12,1.6678143731263688e-14
25,2.2194591241436217e-14,4.10155448267808e-12,6.496720102573681e-10,8.575282266412296e-08,9.054848369405361e-06,0.0007170582373767759,0.037851620085164246,0.998565712011398,0.037851620085164246,0.0007170582373767759,9.054848369405361e-06,8.575282266412296e-08,6.496720102573681e-10,4.10155448267808e-12,2.2194591241436217e-14
26,2.920637685554934e-14,5.18969918050106e-12,7.904102058116634e-10,1.0031632445677465e-07,1.0185174809084822e-05,0.0007755399184792647,0.03936337991725667,0.998448719520013,0.03936337991725667,0.0007755399184792647,1.0185174809084822e-05,1.0031632445677465e-07,7.904102058116634e-10,5.18969918050106e-12,2.920637685554934e-14
27,3.803706382619247e-14,6.508454901944555e-12,9.545439861563277e-10,1.1666019748070887e-07,1.1405820286223485e-05,0.0008363101601350036,0.04087486867524605,0.9983271463463179,0.04087486867524605,0.0008363101601350036,1.1405820286223485e-05,1.1666019748070887e-07,9.545439861563277e-10,6.508454901944555e-12,3.803706382619247e-14
28,4.906395790709974e-14,8.09536262236516e-12,1.144875475817744e-09,1.3492387581647244e-07,1.272024909417942e-05,0.0008993684042697533,0.042386075952239054,0.9982009933275179,0.042386075952239054,0.0008993684042697533,1.272024909417942e-05,1.3492387581647244e-07,1.144875475817744e-09,8.09536262236516e-12,4.906395790709974e-14
29,6.272454041803824e-14,9.992370354002603e-12,1.364421975658405e-09,1.5525203725561252e-07,1.4131924449586449e-05,0.0009647140717947571,0.04389699134349622,0.9980702613323508,0.04389699134349622,0.0009647140717947571,1.4131924449586449e-05,1.5525203725561252e-07,1.364421975658405e-09,9.992370354002603e-12,6.272454041803824e-14
30,7.952339508721998e-14,1.2246165087388665e-11,1.6164238994651432e-09,1.777946013071007e-07,1.56443084525742e-05,0.0010323465626117263,0.045407604446511554,0.9979349512610809,0.045407604446511554,0.0010323465626117263,1.56443084525742e-05,1.777946013071007e-07,1.6164238994651432e-09,1.2246165087388665e-11,7.952339508721998e-14
31,1.0003964686825045e-13,1.4908516744308343e-11,1.9043527069499814e-09,2.0270672713147048e-07,1.7260862046998947e-05,0.0011022652556180064,0.04691790486109213,0.9977950640454917,0.04691790486109213,0.0011022652556180064,1.7260862046998947e-05,2.0270672713147048e-07,1.9043527069499814e-09,1.4908516744308343e-11,1.0003964686825045e-13
32,1.2493493091870134e-13,1.803663413599173e-11,2.2319188330359036e-09,2.301488114026894e-07,1.8985044980685564e-05,0.0011744695087119244,0.048427882189437686,0.9976506006488788,0.048427882189437686,0.0011744695087119244,1.8985044980685564e-05,2.301488114026894e-07,2.2319188330359036e-09,1.803663413599173e-11,1.2493493091870134e-13
33,1.5496190991711753e-13,2.169353291999405e-11,2.6030796132998867e-09,2.6028648609778976e-07,2.082031576568106e-05,0.0012489586587983161,0.04993752603622012,0.9975015620660423,0.04993752603622012,0.0012489586587983161,2.082031576568106e-05,2.6028648609778976e-07,2.6030796132998867e-09,2.169353291999405e-11,1.5496190991711753e-13
34,1.9097335788463684e-13,2.59484155490005e-11,3.0220472054455767e-09,2.9329061621428087e-07,2.277013163851998e-05,0.001325732021794235,0.05144682600866306,0.99734794932328,0.05144682600866306,0.001325732021794235,2.277013163851998e-05,2.9329061621428087e-07,3.0220472054455767e-09,2.59484155490005e-11,1.9097335788463684e-13
35,2.339318286664179e-13,3.08770632045716e-11,3.493296506678042e-09,3.293372974153674e-07,2.483794852050215e-05,0.0014047888926348414,0.0529557717166214,0.9971897634783784,0.0529557717166214,0.0014047888926348414,2.483794852050215e-05,3.293372974153674e-07,3.493296506678042e-09,3.08770632045716e-11,2.339318286664179e-13
36,2.8491992721673455e-13,3.6562239708624054e-11,4.021573066853088e-09,3.6860785360299943e-07,2.702722097798306e-05,0.001486128545279471,0.054464352772660735,0.9970270056206056,0.054464352772660735,0.001486128545279471,2.702722097798306e-05,3.6860785360299943e-07,4.021573066853088e-09,3.6562239708624054e-11,2.8491992721673455e-13
37,3.451512018199054e-13,4.309410740522158e-11,4.611900997273657e-09,4.1128883441877995e-07,2.934140218267737e-05,0.001569750232717888,0.05597255879213686,0.9968596768707025,0.05597255879213686,0.001569750232717888,2.934140218267737e-05,4.1128883441877995e-07,4.611900997273657e-09,4.309410740522158e-11,3.451512018199054e-13
38,4.1598167536718713e-13,5.05706550050295e-11,5.269590875005906e-09,4.575720126727563e-07,3.178394387197579e-05,0.001655653186976713,0.05748037939327526,0.9966877783808741,0.05748037939327526,0.001655653186976713,3.178394387197579e-05,4.575720126727563e-07,5.269590875005906e-09,5.05706550050295e-11,4.1598167536718713e-13
39,4.989220337973642e-13,5.909813738456657e-11,6.000247642587588e-09,5.076543817001239e-07,3.4358296309275854e-05,0.0017438366191260366,0.058987804197250415,0.9965113113347811,0.058987804197250415,0.0017438366191260366,3.4358296309275854e-05,5.076543817001239e-07,6.000247642587588e-09,5.909813738456657e-11,4.989220337973642e-13
40,5.956504897960234e-13,6.879152733216695e-11,6.809778503001428e-09,5.617381526458695e-07,3.706790824432689e-05,0.0018342997192862104,0.060494822828265335,0.9963302769475304,0.060494822828265335,0.0018342997192862104,3.706790824432689e-05,5.617381526458695e-07,6.809778503001428e-09,6.879152733216695e-11,5.956504897960234e-13
41,7.080263398354028e-13,7.977497923234552e-11,7.704400809786249e-09,6.200307516773839e-07,3.9916226873589565e-05,0.001927041656634819,0.062001424913630844,0.9961446764656662,0.062001424913630844,0.001927041656634819,3.9916226873589565e-05,6.200307516773839e-07,7.704400809786249e-09,7.977497923234552e-11,7.080263398354028e-13
42,8.381042326232547e-13,9.218230468003872e-11,8.69064995215863e-09,6.827448171250745e-07,4.2906697800610424e-05,0.002022061579413832,0.06350760008384497,0.9959545111671604,0.06350760008384497,0.002022061579413832,4.2906697800610424e-05,6.827448171250745e-07,8.69064995215863e-09,9.218230468003872e-11,8.381042326232547e-13
43,9.881491670153622e-13,1.0615746001597409e-10,9.775387235017987e-09,7.500981965510057e-07,4.6042764996411816e-05,0.0021193586149369386,0.06501333797267227,0.9957597823614023,0.06501333797267227,0.0021193586149369386,4.6042764996411816e-05,7.500981965510057e-07,9.775387235017987e-09,1.0615746001597409e-10,9.881491670153622e-13
44,1.1606522374321954e-12,1.2185504577420102e-10,1.096580775370797e-08,8.223139437456025e-07,4.932787075989748e-05,0.0022189318695970575,0.06651862821722312,0.9955604913891892,0.06651862821722312,0.0022189318695970575,4.932787075989748e-05,8.223139437456025e-07,1.096580775370797e-08,1.2185504577420102e-10,1.1606522374321954e-12
45,1.3583471448056866e-12,1.3944081803259578e-10,1.2269448263407179e-08,8.996203156524461e-07,5.27654556782744e-05,0.002320780428874034,0.06802346045803298,0.9953566396227161,0.06802346045803298,0.002320780428874034,5.27654556782744e-05,8.996203156524461e-07,1.2269448263407179e-08,1.3944081803259578e-10,1.3583471448056866e-12
